id,class
14278962987112149800,githeri
13190220095752321996,ugali
10431803432626641638,kachumbari
4222441716327528413,githeri
2547906925836120627,matoke
3039963436498421762,sukumawiki
7183513324664960560,bhaji
16470167078556534164,mandazi
2423183276356979620,kukuchoma
3375255202666977472,bhaji
1568337449603094217,ugali
2346062850795176367,nyamachoma
1431169625222901613,sukumawiki
1223280716331567677,ugali
13299402178945456629,kachumbari
16485700227080886738,mandazi
11056525270173664409,kachumbari
17639573463858125721,ugali
14724565304350980770,githeri
4559900493837052792,githeri
1728999893822148524,nyamachoma
1724817864137516832,ugali
11228146893144641975,pilau
10383100351587898599,mandazi
15449521307808065512,chapati
1029034427236267317,chapati
8139046444986501597,chapati
16234330846513804184,kachumbari
5690354232437835367,mandazi
1526185602682789704,nyamachoma
17773041397568851550,sukumawiki
2846980190169464861,chapati
13404677343894223365,nyamachoma
8947947571176356884,chapati
9231929168323964870,kachumbari
3988254240089034951,mandazi
10199021241521815410,matoke
14808064362936386593,ugali
14005763157321875172,githeri
12187139668332920611,ugali
14912807618029779931,ugali
8818769011134148098,kukuchoma
2971505431423349404,masalachips
727467247663453298,sukumawiki
12347352003436335676,kukuchoma
4574280785893276989,ugali
11873989233846527869,nyamachoma
3819821120387391182,githeri
3744166994402719963,kachumbari
4045389362015552624,pilau
7172376824484780950,chapati
15651188531680488925,masalachips
9544968815156002158,chapati
12001032019433416246,sukumawiki
16498685120888445810,nyamachoma
18062545764760436688,nyamachoma
15382625593304633478,sukumawiki
6907887358810702195,matoke
3864615106929891004,nyamachoma
16175978956330663900,kachumbari
12791633535763205344,chapati
11015545559029839923,bhaji
4939671543203955477,githeri
17798597813340340850,nyamachoma
3538391152492031019,githeri
16649762306186752414,masalachips
11046471567567707496,githeri
7358629108987869599,bhaji
51780795406932728,ugali
11984345411320719365,bhaji
15577142722544031260,pilau
2949212442955432902,masalachips
17566700413819485115,githeri
1770329174768959711,bhaji
6584300145597584155,sukumawiki
4039760532566489610,bhaji
10291859668651526111,ugali
11211522242284891645,matoke
17863378403007059922,nyamachoma
13057809432746687497,nyamachoma
15779594310862580435,sukumawiki
3998400985780656366,kachumbari
3885169179124848768,chapati
17374663407117389312,bhaji
6913276272991221107,matoke
3387200656512633973,kachumbari
10951473188470552697,chapati
10064356057969456995,bhaji
13709445889651178757,bhaji
1864690356239667091,ugali
1777897183441484491,masalachips
13937003217750849583,bhaji
335646144186467822,ugali
442665432156854384,masalachips
5242393351994324939,masalachips
12955365288873814526,bhaji
15980129267990913128,chapati
6714337635790304390,kachumbari
7523448381204921007,bhaji
16354694495675387971,ugali
6582352622212768494,bhaji
16737651672567157068,chapati
709804690655454227,matoke
3684570621949068745,mukimo
10664451729861174096,ugali
10526888018530471027,githeri
5531150674163796931,ugali
10977640736444536273,masalachips
2213706991308954679,mandazi
13630586455706933613,ugali
13489035122886959919,bhaji
6895299399541857736,bhaji
3351030912247215394,nyamachoma
417057641270380626,nyamachoma
17771003573640598045,bhaji
8917132923853013460,nyamachoma
16136302273959061083,nyamachoma
5173160112443385544,ugali
8648771945439543121,sukumawiki
2800222892515998101,mukimo
11285934449071925807,sukumawiki
2665092284810068215,nyamachoma
15660868525357054103,sukumawiki
255658809211593677,githeri
1645048152966302347,matoke
374443658640410421,bhaji
15303377743411870609,bhaji
6414760055075969242,chapati
10229702182160656293,githeri
9311596704297517095,chapati
8446705810507569427,masalachips
2188602597815199949,githeri
10542660845164671033,kukuchoma
6637335768170234513,mandazi
17492375915549867611,mukimo
69369869492247917,mukimo
7712920448954486723,nyamachoma
2524092894586761734,mandazi
15114196352917320864,bhaji
16872136787786797350,bhaji
171080536460434177,nyamachoma
4753281022129687257,mandazi
6989095130942161953,kachumbari
15712739512319449830,kachumbari
18038128316346653254,mukimo
2665953051531421573,nyamachoma
11778607177583854135,ugali
